policy_id,kept_policy_id,policy_name,region,support_summary,clean_text,updated_at
51,10,신축주택 매입임대주택,,"서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부·서울시·서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.","■ 기본
신축주택 매입임대주택
요약: 서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부
· 서울시
· 서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.

■ 사업 개요
서울시에서 생활하는 저소득층, 저소득 청년층 및 신혼부부의 주거안정을 위해 중앙정부
· 서울시
· 서울주택도시공사의 재정과 주택도시기금을 지원받아 서울주택도시공사에서 주택을 매입하여 현 생활권에서 최장 20년까지 거주할 수 있도록 주변시세보다 저렴하게 공급하는 공공임대주택입니다.

■ 문의처
링크: https://housing.seoul.go.kr/site/main/content/sh01_030900",2026-02-24T09:29:31.047025+00:00
52,11,신혼희망타운,,"내집마련의 부담을 느끼는 신혼부부를 위해 육아·보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을 신혼부부에게 공급하는 신혼부부 특화형 공공주택입니다.","■ 기본
신혼희망타운
요약: 내집마련의 부담을 느끼는 신혼부부를 위해 육아
· 보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을 신혼부부에게 공급하는 신혼부부 특화형 공공주택입니다.

■ 사업 개요
내집마련의 부담을 느끼는 신혼부부를 위해 육아
· 보육을 비롯한 신혼부부 수요를 반영하여 건설하고, 전량을 신혼부부에게 공급하는 신혼부부 특화형 공공주택입니다.

■ 문의처
링크: https://housing.seoul.go.kr/site/main/content/sh01_060511",2026-02-24T09:29:31.047025+00:00
